1;126.89783,37.653556 126.897888,37.653319 126.898217,37.65175 126.89838,37.650903 126.898399,37.650827 126.898434,37.650713 126.898497,37.650557 126.898569,37.650426 126.898661,37.650288 126.898768,37.65016 126.898903,37.650014 126.899024,37.649895 126.899428,37.649627 126.899763,37.649422
2;126.899829,37.64949 126.899496,37.649693 126.899101,37.649955 126.898989,37.650066 126.898857,37.650208 126.898754,37.650331 126.898666,37.650463 126.898598,37.650587 126.898538,37.650736 126.898504,37.650845 126.898486,37.650918 126.898324,37.651763 126.897994,37.653334 126.897936,37.65357 126.897914,37.653765
0;126.901069,37.653587 126.90135,37.65353499999999 126.901562,37.6535 126.902054,37.653463 126.902422,37.65341999999999 126.903376,37.65329 126.903998,37.653207 126.904276,37.65315199999999 126.904768,37.65305599999999 126.906021,37.652771 126.906349,37.652714 126.906939,37.652591 126.907264,37.652483 126.907631,37.652368 126.907994,37.652244 126.908224,37.652154 126.90874,37.651955 126.909069,37.651778 126.909227,37.651697 126.909758,37.651513 126.912825,37.650483 126.914253,37.650025 126.914804,37.649841 126.915567,37.649595 126.916438,37.649385 126.917475,37.649275 126.917846,37.649255 126.919667,37.649377 126.920978,37.649483
0;126.920967,37.64956699999999 126.919657,37.649462 126.917845,37.64934 126.917486,37.64936 126.916461,37.64946799999999 126.915603,37.649676 126.914845,37.64992 126.914294,37.650103 126.912866,37.650562 126.909801,37.651592 126.909278,37.651772 126.909128,37.651849 126.908794,37.65203 126.908272,37.65223 126.908039,37.652321 126.907672,37.652447 126.907304,37.652562 126.906974,37.652672 126.906375,37.652797 126.906047,37.652854 126.904796,37.653138 126.904302,37.653235 126.904021,37.653291 126.903394,37.653379 126.902439,37.653504 126.902068,37.653547 126.901577,37.653591 126.901372,37.653619 126.901094,37.65367
2;126.890217,37.648473 126.891936,37.649095 126.895389,37.65034 126.895704,37.650447 126.895852,37.650494 126.896012,37.650534 126.896673,37.650665
2;126.896647,37.650748 126.895983,37.650617 126.895815,37.650574 126.895662,37.650525 126.895345,37.650418 126.891891,37.649173 126.890172,37.648551
3;126.89661,37.65069 126.897603,37.648881
1;126.897702,37.648915 126.896709,37.650724
4;126.8912,37.646745 126.892897,37.647357 126.896386,37.648611 126.896552,37.648658 126.896888,37.648737 126.897663,37.648856
2;126.897642,37.64894 126.896862,37.64882 126.896518,37.648739 126.896346,37.648691 126.892853,37.647435 126.891155,37.646823
4;126.897603,37.648881 126.898443,37.647327 126.898614,37.647007 126.898667,37.646864
3;126.89877,37.646888 126.898716,37.647036 126.898542,37.647361 126.897702,37.648915
2;126.896083,37.645867 126.896326,37.645956 126.898741,37.646838
2;126.898696,37.646915 126.896281,37.646033 126.896038,37.645944
1;126.914623,37.643333 126.912615,37.644284 126.911728,37.644598 126.910055,37.645396 126.908986,37.645893 126.906812,37.64687 126.906376,37.647007 126.905737,37.647136 126.904146,37.647315 126.903598,37.64743 126.903143,37.647567 126.902512,37.647869 126.899829,37.64949
1;126.908932,37.645819 126.909999,37.645323 126.911276,37.64471 126.911674,37.644524 126.912476,37.64409599999999 126.914353,37.643187 126.914545,37.643085
1;126.899763,37.649422 126.902452,37.647798 126.903096,37.64749 126.903565,37.64734899999999 126.904124,37.647231 126.905716,37.647052 126.906343,37.646926 126.906765,37.64679199999999 126.908933,37.645819
1;126.903198,37.64707099999999 126.903732,37.64705599999999 126.90449,37.64702 126.905089,37.646965 126.905649,37.646892 126.906299,37.64676099999999 126.906919,37.646554 126.908059,37.646047 126.908639,37.645788 126.90891,37.645817 126.908953,37.645814
2;126.898737,37.646836 126.898895,37.646881 126.899125,37.646926 126.899394,37.646957 126.901102,37.647016 126.902173,37.64704 126.903202,37.647071
2;126.903198,37.647156 126.902169,37.647125 126.901098,37.647101 126.899383,37.647042 126.899105,37.64701 126.898864,37.646963 126.8987,37.646916
